document,negative,positive,sentiment
text2203,7,0,-7
text1666,6,0,-6
text20829,6,0,-6
text20888,6,0,-6
text22705,6,0,-6
text23471,6,0,-6
text25272,6,0,-6
text27095,6,0,-6
text29411,6,0,-6
text3006,6,0,-6
text4821,6,0,-6
text59,6,0,-6
text615,6,0,-6
text616,6,0,-6
text7429,6,0,-6
text746,7,1,-6
text7828,6,0,-6
text8237,6,0,-6
text9861,6,0,-6
text101,5,0,-5
text1038,5,0,-5
text11342,7,2,-5
text11380,7,2,-5
text11796,5,0,-5
text14207,5,0,-5
text1755,5,0,-5
text185,5,0,-5
text19032,5,0,-5
text19185,6,1,-5
text20172,5,0,-5
text20492,5,0,-5
text20795,5,0,-5
text20830,5,0,-5
text2087,5,0,-5
text20890,5,0,-5
text21492,5,0,-5
text22569,5,0,-5
text22607,5,0,-5
text22643,5,0,-5
text23611,5,0,-5
text2366,5,0,-5
text2506,5,0,-5
text25220,5,0,-5
text25781,5,0,-5
text261,5,0,-5
text2762,5,0,-5
text2772,5,0,-5
text2784,6,1,-5
text284,8,3,-5
text29,6,1,-5
text2914,5,0,-5
text2984,5,0,-5
text2993,5,0,-5
text3001,5,0,-5
text30836,5,0,-5
text30993,5,0,-5
text3219,5,0,-5
text331,5,0,-5
text351,5,0,-5
text3773,5,0,-5
text4094,5,0,-5
text4225,5,0,-5
text425,7,2,-5
text4574,6,1,-5
text5196,5,0,-5
text5200,5,0,-5
text5253,5,0,-5
text6012,5,0,-5
text6185,5,0,-5
text629,7,2,-5
text6485,5,0,-5
text6496,5,0,-5
text664,5,0,-5
text6671,5,0,-5
text7442,5,0,-5
text754,6,1,-5
text7758,5,0,-5
text809,5,0,-5
text8148,5,0,-5
text86,6,1,-5
text912,5,0,-5
text10451,4,0,-4
text1093,4,0,-4
text11066,4,0,-4
text1136,4,0,-4
text1140,4,0,-4
text11704,4,0,-4
text12104,4,0,-4
text12375,4,0,-4
text12774,4,0,-4
text13338,4,0,-4
text13792,4,0,-4
text1462,4,0,-4
text15394,4,0,-4
text155,5,1,-4
text16078,4,0,-4
text16314,4,0,-4
text16373,4,0,-4
text1640,4,0,-4
text16468,4,0,-4
text16619,4,0,-4
text1665,5,1,-4
text16652,4,0,-4
text16914,4,0,-4
text16935,4,0,-4
text1739,4,0,-4
text17485,4,0,-4
text17508,4,0,-4
text17620,4,0,-4
text17910,5,1,-4
text18108,4,0,-4
text1886,4,0,-4
text1889,4,0,-4
text19062,4,0,-4
text19234,4,0,-4
text19398,4,0,-4
text195,4,0,-4
text19829,4,0,-4
text20180,4,0,-4
text20352,5,1,-4
text20636,4,0,-4
text20753,4,0,-4
text2089,4,0,-4
text2090,4,0,-4
text21128,4,0,-4
